City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Prieska,-29.6641,22.7474,52.93,27,42,6.33,ZA,1627773618
Hithadhoo,-0.6,73.0833,80.62,74,63,4.94,MV,1627773618
Mataura,-46.1927,168.8643,48.47,100,100,1.99,NZ,1627773619
Deputatsky,69.3,139.9,43.65,74,100,6.96,RU,1627773619
Kaseda-shirakame,31.4167,130.3167,79.84,76,95,0.31,JP,1627773619
Vaini,-21.2,-175.2,78.96,73,20,26.46,TO,1627773620
San Alberto,7.7611,-73.3922,83.79,79,54,2.55,CO,1627773620
Grindavik,63.8424,-22.4338,53.56,100,90,10.36,IS,1627773065
Suntar,62.1444,117.6319,66.74,48,30,2.68,RU,1627773622
Yar-Sale,66.8333,70.8333,44.82,90,14,8.12,RU,1627773099
Nome,64.5011,-165.4064,49.15,87,90,14.97,US,1627773622
Mount Isa,-20.7333,139.5,73.17,53,90,1.14,AU,1627773622
Haines Junction,60.7522,-137.5108,78.69,29,11,8.59,CA,1627773038
Hong Kong,22.2855,114.1577,87.96,90,99,5.01,HK,1627773439
Vitim,59.4511,112.5578,62.06,52,48,7.49,RU,1627773623
Saint Paul Harbor,57.79,-152.4072,60.31,77,90,8.05,US,1627773623
Vidim,56.4088,103.1106,60.66,69,100,2.86,RU,1627773624
Sabang,5.8933,95.3214,82.96,75,100,22.62,ID,1627773624
Ntoum,0.3833,9.7833,78.57,79,82,4.07,GA,1627773624
Kruisfontein,-34.0033,24.7314,56.26,31,63,4.68,ZA,1627773625
Butaritari,3.0707,172.7902,81.86,75,43,9.01,KI,1627773625
Wamba,8.9333,8.6,72.52,89,87,4.18,NG,1627773625
Altamira,-3.2033,-52.2064,73.36,87,64,2.73,BR,1627773626
Corrente,-3.7367,-43.3394,76.46,40,24,1.72,BR,1627773626
Portland,45.5234,-122.6762,90.45,40,90,9.22,US,1627773468
Inírida,3.8653,-67.9239,71.42,94,100,2.91,CO,1627773626
Spirit River,55.7833,-118.8361,88.23,30,0,6.6,CA,1627773627
Provideniya,64.3833,-173.3,46.02,80,95,4.63,RU,1627773052
Chui,-33.6971,-53.4616,47.68,92,0,4.72,UY,1627772916
Takoradze,4.8845,-1.7554,75.74,88,37,7.14,GH,1627773627
Half Moon Bay,37.4636,-122.4286,93.74,64,40,1.01,US,1627773108
Victor Harbor,-35.5667,138.6167,51.46,81,8,7.43,AU,1627773628
Mount Gambier,-37.8333,140.7667,44.85,89,12,5.12,AU,1627773628
Solnechnyy,50.7214,136.6319,49.28,96,100,6.62,RU,1627773628
Nguruka,-5.1092,31.0419,63.39,41,14,4.72,TZ,1627773629
Tarko-Sale,64.9225,77.785,50.74,85,37,9.35,RU,1627773629
Kapaa,22.0752,-159.319,86.32,68,75,3.0,US,1627773332
Henties Bay,-22.116,14.2845,67.96,39,0,6.89,NA,1627773630
Nemuro,43.3236,145.575,65.12,98,100,16.64,JP,1627773630
Gambēla,8.25,34.5833,69.06,96,100,3.49,ET,1627773630
Katsuura,35.1333,140.3,86.14,77,80,3.91,JP,1627773631
Bilma,18.6853,12.9164,94.39,15,20,5.08,NE,1627773631
Talnakh,69.4865,88.3972,53.22,83,21,9.01,RU,1627773106
Tadine,-21.55,167.8833,69.69,52,1,18.1,NC,1627773118
Bismarck,46.8083,-100.7837,87.87,31,1,11.5,US,1627773417
Gemeente Wageningen,51.9667,5.6667,61.86,89,8,5.86,NL,1627773632
Amahai,-3.3333,128.9167,78.33,87,35,1.68,ID,1627773632
Boende,-0.2167,20.8667,78.96,58,100,2.8,CD,1627773633
Ponta do Sol,32.6667,-17.1,72.23,57,15,9.46,PT,1627773633
Lüderitz,-26.6481,15.1594,68.63,26,0,7.56,NA,1627773633
Kavieng,-2.5744,150.7967,82.87,69,28,4.27,PG,1627773074
Pisco,-13.7,-76.2167,64.45,77,0,10.36,PE,1627773634
Mentougou,39.9392,116.0917,79.74,67,0,6.22,CN,1627773634
Sampit,-2.5333,112.95,73.83,95,21,1.99,ID,1627773634
Mar del Plata,-38.0023,-57.5575,50.13,28,42,10.0,AR,1627773635
Mitsamiouli,-11.3847,43.2844,76.68,69,0,8.14,KM,1627773054
Hilo,19.7297,-155.09,83.93,65,1,12.66,US,1627773441
Severo-Kuril'sk,50.6789,156.125,54.37,88,100,8.32,RU,1627773635
Araouane,18.9048,-3.5265,96.12,30,42,10.51,ML,1627773058
Bogoslovka,53.2084,44.8013,68.13,69,38,4.83,RU,1627773636
Rio Grande,-32.035,-52.0986,48.94,89,0,8.5,BR,1627773636
Grand Gaube,-20.0064,57.6608,70.2,76,0,7.0,MU,1627773636
Karsun,54.1994,46.9827,64.78,79,37,6.62,RU,1627773637
Ca Mau,9.1769,105.15,77.05,92,54,5.17,VN,1627773637
Alofi,-19.0595,-169.9187,75.09,94,97,17.27,NU,1627773638
Constitución,-35.3333,-72.4167,52.75,80,45,8.21,CL,1627773638
Temyasovo,52.9933,58.1014,62.96,76,15,5.08,RU,1627773638
Vila,42.0304,-8.1588,52.93,95,93,1.07,PT,1627773639
Mossamedes,-15.1961,12.1522,68.11,84,23,5.66,AO,1627773508
Udachny,66.4167,112.4,70.7,34,5,4.72,RU,1627773639
Teya,60.3778,92.6267,54.01,67,35,3.47,RU,1627773640
Kloulklubed,7.0419,134.2556,79.3,73,92,9.8,PW,1627773640
Narsaq,60.9167,-46.05,53.82,76,55,4.07,GL,1627773424
Sambava,-14.2667,50.1667,66.65,82,1,12.21,MG,1627773640
Falāvarjān,32.5553,51.5097,78.01,22,69,4.56,IR,1627773641
Verkhniye Tatyshly,56.2912,55.8575,62.06,97,72,7.11,RU,1627773641
Fairbanks,64.8378,-147.7164,81.1,43,1,0.0,US,1627773405
Thompson,55.7435,-97.8558,74.84,40,92,9.75,CA,1627772904
Itarema,-2.9248,-39.9167,78.73,80,86,15.99,BR,1627773642
Pahlgām,34.0333,75.3333,58.82,89,55,1.66,IN,1627773642
Cidreira,-30.1811,-50.2056,57.16,85,9,14.99,BR,1627773642
Norman Wells,65.282,-126.8329,87.84,23,75,10.36,CA,1627773643
San Cristobal,7.7669,-72.225,80.78,92,52,5.59,VE,1627773643
‘Ewa Beach,21.3156,-158.0072,89.55,51,20,10.36,US,1627773643
Yangi Marg`ilon,40.4272,71.7189,74.62,27,51,2.01,UZ,1627773644
Jalu,29.0331,21.5482,88.36,16,0,10.8,LY,1627773644
Naze,28.3667,129.4833,83.32,84,99,10.63,JP,1627773539
Arraial do Cabo,-22.9661,-42.0278,66.87,62,95,12.21,BR,1627773644
Saint-François,46.4154,3.9054,58.17,93,100,2.3,FR,1627773100
Bubaque,11.2833,-15.8333,77.65,90,100,19.66,GW,1627773645
Khatanga,71.9667,102.5,65.35,70,80,10.4,RU,1627773645
Karpogory,64.0019,44.4451,53.64,95,76,3.67,RU,1627773645
Adrar,20.5022,-10.0711,88.18,43,68,24.49,MR,1627773067
Filingué,14.3521,3.3168,87.67,53,57,9.93,NE,1627773646
Bonthe,7.5264,-12.505,75.56,87,100,4.74,SL,1627773646
Karpathos,35.507,27.2132,82.78,59,0,15.14,GR,1627773647
Cartagena del Chairá,1.3349,-74.8429,72.03,91,97,2.19,CO,1627773647
Qaanaaq,77.484,-69.3632,41.68,87,93,4.27,GL,1627773647
Coyhaique,-45.5752,-72.0662,33.75,80,0,0.0,CL,1627773413
Teeli,51.0333,90.2333,52.0,76,91,1.61,RU,1627773648
Santa Ana,33.7456,-117.8678,105.57,44,40,4.0,US,1627773429
Beringovskiy,63.05,179.3167,45.52,70,94,2.48,RU,1627773648
Oranjemund,-28.55,16.4333,64.27,39,0,1.95,NA,1627773649
Tecpan,14.7623,-90.9947,68.76,74,59,5.14,GT,1627773649
Taoudenni,22.6783,-3.9836,102.24,12,1,1.95,ML,1627773091
Port Alfred,-33.5906,26.891,65.86,34,100,7.94,ZA,1627773649
Meulaboh,4.1363,96.1285,74.82,85,100,3.02,ID,1627773650
Pacific Grove,36.6177,-121.9166,89.56,78,1,7.0,US,1627773488
Aldan,58.6031,125.3894,56.01,58,100,7.92,RU,1627773650
Vostok,46.4856,135.8833,74.97,66,63,2.89,RU,1627773651
Torbay,47.6666,-52.7314,63.68,84,75,17.27,CA,1627773651
Maryborough,-25.5333,152.7,67.64,67,3,7.58,AU,1627773651
Bethel,41.3712,-73.414,73.76,64,1,5.75,US,1627773652
Krasnosel'kup,65.7,82.4667,50.38,76,43,7.07,RU,1627773449
Pangnirtung,66.1451,-65.7125,52.81,62,100,4.0,CA,1627773652
Atbasar,51.8,68.3333,67.57,70,95,3.47,KZ,1627773653
Ossora,59.2353,163.0719,56.7,55,49,4.21,RU,1627773653
Souris,49.6172,-100.2612,76.86,21,41,12.97,CA,1627773653
Kampot,10.6167,104.1833,82.45,85,98,9.44,KH,1627773654
Saldanha,-33.0117,17.9442,55.45,60,35,6.67,ZA,1627773654
Yerofey Pavlovich,53.9667,121.9667,52.63,98,100,4.21,RU,1627773654
Anadyr,64.75,177.4833,48.7,57,0,5.99,RU,1627773655
Ikom,5.9667,8.7063,73.22,96,99,1.05,NG,1627773655
Yuli,9.6989,10.2744,72.41,94,86,2.37,NG,1627773655
Lagoa,39.05,-27.9833,70.66,87,100,9.15,PT,1627773496
Taiyuan,37.8694,112.5603,75.06,43,0,8.95,CN,1627773656
Mahébourg,-20.4081,57.7,70.09,78,40,11.5,MU,1627773656
Samarai,-10.6167,150.6667,78.24,65,88,13.89,PG,1627773657
Camacha,33.0833,-16.3333,68.76,68,75,10.36,PT,1627773657
Pankovka,58.5,31.1999,58.44,95,23,5.59,RU,1627773657
Lázaro Cárdenas,17.9583,-102.2,85.28,69,86,6.04,MX,1627773658
Egvekinot,66.3167,-179.1667,39.52,60,87,3.56,RU,1627773658
Avera,33.194,-82.5271,93.25,51,89,8.21,US,1627773659
Horsham,51.064,-0.3272,62.02,93,20,4.61,GB,1627773461
Odienné,9.51,-7.5692,71.19,96,100,3.15,CI,1627773659
Vestmannaeyjar,63.4427,-20.2734,53.73,92,99,4.25,IS,1627773659
Carauari,-4.8828,-66.8958,75.96,51,42,1.83,BR,1627773660
Lermontovka,47.1453,134.3383,81.05,61,13,8.61,RU,1627773660
Osakarovka,50.565,72.5692,65.28,46,18,3.36,KZ,1627773661
Sola,-13.8833,167.55,77.18,70,96,15.7,VU,1627773662
Keti Bandar,24.1447,67.4497,81.61,84,100,24.27,PK,1627773662
Ponta Delgada,37.7333,-25.6667,72.32,83,40,8.05,PT,1627773662
Paamiut,61.994,-49.6678,45.21,87,94,3.13,GL,1627773663
Barrow,71.2906,-156.7887,50.02,94,90,17.27,US,1627773663
Vila Velha,-20.3297,-40.2925,62.55,94,90,4.61,BR,1627773524
Ribeira Grande,38.5167,-28.7,71.69,84,45,6.76,PT,1627773664
Baghdad,33.3406,44.4009,87.71,29,0,8.05,IQ,1627773374
Port-Gentil,-0.7193,8.7815,76.96,83,90,9.22,GA,1627773664
Smithers,54.7804,-127.1743,91.72,24,20,5.75,CA,1627773664
Srednekolymsk,67.45,153.6833,37.42,98,100,13.35,RU,1627773649
Sioux Lookout,50.1001,-91.917,72.37,37,86,12.95,CA,1627772879
Hamilton,39.1834,-84.5333,74.95,68,90,4.61,US,1627773107
Creel,27.75,-107.6333,71.44,49,60,5.46,MX,1627773665
Porto Velho,-8.7619,-63.9039,77.05,50,0,1.14,BR,1627773402
Galle,6.0367,80.217,78.53,86,52,11.83,LK,1627773072
Charters Towers,-20.1,146.2667,70.34,67,0,9.28,AU,1627773666
Tiksi,71.6872,128.8694,41.09,86,94,8.77,RU,1627773666
Tilichiki,60.4667,166.1,55.17,42,34,4.68,RU,1627773666
Vila Franca do Campo,37.7167,-25.4333,72.01,91,48,5.37,PT,1627773667
At-Bashi,41.1702,75.8106,53.38,44,95,1.74,KG,1627773667
Austin,30.2672,-97.7431,96.03,61,1,3.44,US,1627773233
Tjøme,59.1109,10.3933,60.71,96,90,4.61,NO,1627773668
Northam,51.0333,-4.2167,60.39,94,15,4.68,GB,1627773668
Iquique,-20.2208,-70.1431,60.84,80,37,6.67,CL,1627773668
Talcahuano,-36.7167,-73.1167,49.68,76,0,4.61,CL,1627773669
Province of Mantua,45.1667,10.7833,78.04,87,37,3.38,IT,1627773669
Lavrentiya,65.5833,-171.0,43.02,86,100,7.36,RU,1627773670
Røros,62.5747,11.3842,46.24,87,90,8.05,NO,1627773670
Cabo San Lucas,22.8909,-109.9124,94.51,66,75,14.97,MX,1627773657
Erbil,36.1926,44.0106,91.99,28,73,7.36,IQ,1627773670
Geraldton,-28.7667,114.6,61.12,88,40,25.32,AU,1627773558
Turukhansk,65.8167,87.9833,55.44,65,100,4.54,RU,1627773671
Bolobo,-2.1667,16.2333,77.54,45,61,2.37,CD,1627773671
Bengkulu,-3.8004,102.2655,74.23,91,32,2.91,ID,1627773672
Sikeston,36.8767,-89.5879,85.89,74,1,5.75,US,1627773669
Villareal,11.5659,124.9281,81.61,81,58,4.25,PH,1627773672
Hobyo,5.3505,48.5268,75.7,83,83,23.47,SO,1627773587
Kenai,60.5544,-151.2583,69.03,63,1,9.22,US,1627773546
Palmerston,-12.486,130.9833,78.93,83,20,4.61,AU,1627773429
Katakwi,1.8911,33.9661,67.08,78,100,3.83,UG,1627773673
Sainte-Suzanne,-20.9061,55.6089,66.38,63,9,10.36,RE,1627773673
Vredendal,-31.6683,18.5012,61.05,23,46,4.7,ZA,1627773673
Belyy Yar,53.6039,91.3903,53.49,100,0,2.24,RU,1627773090
Linden,6.0,-58.3,80.74,97,40,3.58,GY,1627773674
Muros,42.7762,-9.0603,63.84,84,90,1.83,ES,1627773092
Skibbereen,51.55,-9.2667,58.8,87,58,6.38,IE,1627773674
Dawei,14.0833,98.2,76.78,93,100,5.73,MM,1627773675
Bayjī,34.9311,43.487,97.99,16,66,13.4,IQ,1627773675
Bulgan,48.8125,103.5347,56.03,90,56,2.35,MN,1627773675
Nānākuli,21.3906,-158.1547,89.55,50,20,10.36,US,1627773614
Ilulissat,69.2167,-51.1,57.22,47,27,11.5,GL,1627773676
Zhezkazgan,47.8043,67.7144,76.06,20,1,4.56,KZ,1627773676
Mareeba,-17.0,145.4333,72.32,86,15,4.65,AU,1627773676
Vao,-22.6667,167.4833,66.74,59,0,20.11,NC,1627773677
Praia,14.9215,-23.5087,77.54,78,20,12.66,CV,1627773677
Conde,-7.2597,-34.9075,72.86,94,40,10.36,BR,1627773678
Hasaki,35.7333,140.8333,82.8,83,26,3.83,JP,1627773678
Baiyin,36.5583,104.2081,63.48,28,0,4.41,CN,1627773678
Los Llanos de Aridane,28.6585,-17.9182,69.55,84,90,19.57,ES,1627773679
Kilindoni,-7.9139,39.6668,75.63,81,32,19.95,TZ,1627773679
Hualmay,-11.0964,-77.6139,64.98,79,27,12.08,PE,1627773679
Guaxupé,-21.3053,-46.7128,57.2,41,27,5.73,BR,1627773680
Muscat,23.6139,58.5922,91.42,63,47,7.58,OM,1627773680
Kiryat Gat,31.61,34.7642,84.4,50,0,2.19,IL,1627773681
Lebu,-37.6167,-73.65,47.57,85,2,14.09,CL,1627773681
Nouadhibou,20.931,-17.0347,69.78,88,5,19.57,MR,1627773531
Gaomi,36.3833,119.7528,78.58,88,34,1.99,CN,1627773681
Kontagora,10.3999,5.4695,73.0,91,83,4.74,NG,1627773682
Río Gallegos,-51.6226,-69.2181,42.85,45,75,21.85,AR,1627773682
Omsukchan,62.5333,155.8,49.23,79,85,13.71,RU,1627773683
Hamina,60.5697,27.1979,61.88,92,12,12.35,FI,1627773683
Oddur,4.1213,43.8894,70.99,63,89,19.98,SO,1627773683
Bosaso,11.2842,49.1816,88.05,37,50,20.09,SO,1627773684
Frunze,48.6686,38.7544,71.69,66,2,2.75,UA,1627773684
Provincia di Campobasso,41.6333,14.5833,73.17,50,0,8.55,IT,1627773684
Bereda,43.2686,-7.5406,55.92,99,12,1.54,ES,1627773685
Bambous Virieux,-20.3428,57.7575,70.05,78,40,11.5,MU,1627773685
La Ronge,55.1001,-105.2842,77.25,36,40,5.75,CA,1627773685
Sumbe,-11.2061,13.8437,69.93,93,4,6.11,AO,1627773686
Khowst,33.3833,69.8833,75.72,81,12,1.57,AF,1627773686
Aripuanã,-9.1667,-60.6333,76.35,40,8,1.54,BR,1627773686
St. Marys,30.7305,-81.5465,93.42,65,40,5.99,US,1627773429
Shāhābād,27.65,79.95,81.39,82,88,11.72,IN,1627773687
Ketchikan,55.3422,-131.6461,72.07,68,1,14.97,US,1627773422
Lerwick,60.1545,-1.1494,51.8,81,86,17.85,GB,1627773687
Muroto-misakicho,33.2833,134.15,82.44,69,37,1.83,JP,1627773688
Lahān,26.7296,86.4951,79.03,87,89,6.76,NP,1627773688
Esperance,-33.8667,121.9,48.04,86,55,26.35,AU,1627773688
Buin,-33.7333,-70.75,64.74,42,50,3.38,CL,1627773689
Ixtapa,20.7,-105.2,87.22,74,75,10.36,MX,1627773689
Le Port,-20.9373,55.2919,66.16,72,10,5.77,RE,1627773689
Comodoro Rivadavia,-45.8667,-67.5,49.86,25,0,16.11,AR,1627773690
Carnarvon,-24.8667,113.6333,53.67,57,90,5.75,AU,1627773690
Nishihara,26.1842,127.7558,83.48,89,75,14.97,JP,1627773690
Westport,41.1415,-73.3579,76.05,53,1,3.0,US,1627773691
Goundam,16.4145,-3.6708,88.38,44,22,8.93,ML,1627773691
Acoyapa,11.9703,-85.1711,86.09,80,98,12.5,NI,1627773692
Harper,4.375,-7.7169,76.66,84,100,11.05,LR,1627773692
Chara,56.9064,118.2631,57.31,65,45,3.94,RU,1627773692
Katobu,-4.9408,122.5276,74.89,92,100,3.36,ID,1627773693
Isangel,-19.55,169.2667,73.51,68,75,16.11,VU,1627773497
Kirakira,-10.4544,161.9205,80.71,68,94,5.79,SB,1627773693
Klaksvík,62.2266,-6.589,47.32,76,87,12.17,FO,1627773693
Nanortalik,60.1432,-45.2371,47.64,82,89,10.67,GL,1627773509
Khudumelapye,-23.8833,24.75,47.79,40,0,6.46,BW,1627773694
Nhulunbuy,-12.2333,136.7667,83.01,69,25,12.66,AU,1627773694
Andenes,69.3143,16.1194,46.38,87,90,9.22,NO,1627773695
Taltal,-25.4,-70.4833,62.08,69,20,6.91,CL,1627773695
Lianzhou,24.7811,112.3825,78.31,93,100,0.67,CN,1627773695
Alice Springs,-23.7,133.8833,58.55,67,0,5.75,AU,1627773556
Sūsangerd,31.5608,48.1831,87.82,12,0,8.08,IR,1627773696
Sobolevo,54.4299,31.8996,63.61,72,100,6.29,RU,1627773696
Mariel,22.9875,-82.7536,84.97,72,30,9.04,CU,1627773697
Chivilcoy,-34.8957,-60.0167,48.94,56,15,4.41,AR,1627773697
Potsdam,52.3989,13.0657,66.02,88,12,7.63,DE,1627773697
Ajdabiya,30.7554,20.2263,82.0,50,0,11.81,LY,1627773698
Warner Robins,32.621,-83.5999,91.54,66,75,5.75,US,1627773462
Vangaindrano,-23.35,47.6,62.4,79,39,0.09,MG,1627773698
Pajapan,18.25,-94.7,84.36,68,83,10.13,MX,1627773699
Bemidji,47.4736,-94.8803,78.06,37,40,11.5,US,1627773496
Dubbo,-32.25,148.6167,60.93,67,0,5.75,AU,1627773699
Ramsar,36.9226,50.6426,78.17,86,54,1.92,IR,1627773699
Gboko,7.3179,8.9951,74.84,75,98,5.82,NG,1627773700
Ouidah,6.3631,2.0851,78.66,87,95,8.95,BJ,1627773700
Matagami,49.7502,-77.6328,68.11,49,75,9.22,CA,1627773700
Kahului,20.8947,-156.47,86.97,63,20,29.93,US,1627773462
Zunheboto,25.9667,94.5167,64.67,100,100,0.54,IN,1627773701
Nefteyugansk,61.0998,72.6035,48.45,88,56,6.04,RU,1627773701
Nyírtass,48.1167,22.0333,65.41,86,3,3.85,HU,1627773701
Matara,5.9485,80.5353,77.5,88,49,10.11,LK,1627773702
Brownsville,25.9018,-97.4975,91.89,64,20,5.01,US,1627773551
Arrondissement de Limoux,42.9167,2.1667,59.7,88,100,6.91,FR,1627773702
Shatki,55.1887,44.1249,61.72,79,42,5.82,RU,1627773703
Alexandria,31.2156,29.9553,80.82,72,0,4.18,EG,1627773075
East London,-33.0153,27.9116,66.09,25,95,6.6,ZA,1627773453
Redmond,47.674,-122.1215,80.53,62,100,1.99,US,1627773447
Bereket,39.2446,55.5154,81.25,10,3,7.92,TM,1627773703
Fasa,28.9383,53.6482,74.44,33,0,0.0,IR,1627773704
Chapais,49.7834,-74.8492,64.18,51,52,9.51,CA,1627773557
